INDEX,ADC_DATA
450,0.510093
451,0.284944
452,0.0488281
453,-0.193898
454,-0.418052
455,-0.611501
456,-0.764648
457,-0.868666
458,-0.921913
459,-0.922606
460,-0.871094
461,-0.766754
462,-0.619255
463,-0.435699
464,-0.224609
465,0.0193213
466,0.25988
467,0.482532
468,0.674805
469,0.834835
470,0.940361
471,0.984127
472,0.962891
473,0.862576
474,0.712166
475,0.522168
476,0.303711
477,0.0549782
478,-0.18956
479,-0.415359
480,-0.610352
481,-0.764936
482,-0.872032
483,-0.927014
484,-0.927734
485,-0.869777
486,-0.763664
487,-0.615215
488,-0.431641
489,-0.211766
490,0.0184863
491,0.246609
492,0.460938
493,0.663354
494,0.823196
495,0.929879
496,0.976562
497,0.953009
498,0.871505
499,0.737265
500,0.557617
501,0.324428
502,0.0778733
503,-0.166371
504,-0.394531
505,-0.599478
506,-0.763527
507,-0.878073
508,-0.9375
509,-0.933736
510,-0.876
511,-0.768255
512,-0.616211
513,-0.418608
514,-0.198829
515,0.0311908
516,0.259766
517,0.489877
518,0.686852
519,0.838098
520,0.93457
521,0.966693
522,0.93914
523,0.853961
524,0.71582
525,0.515554
526,0.289825
527,0.0530143
528,-0.181641
529,-0.409158
530,-0.60701
531,-0.76458
532,-0.874023
533,-0.926923
534,-0.926407
535,-0.873319
536,-0.770508
537,-0.617557
538,-0.429917
539,-0.217059
540,0.0107422
541,0.259203
542,0.489106
543,0.685854
544,0.837891
545,0.938629
546,0.979431
547,0.957626
548,0.874023
549,0.716287
550,0.519256
551,0.296076
552,0.0595703
553,-0.18862
554,-0.418617
555,-0.617316
556,-0.774414
557,-0.87941
558,-0.932503
559,-0.932144
560,-0.878906
561,-0.772454
562,-0.622513
563,-0.436349
564,-0.222656
565,0.0242665
566,0.267105
567,0.491079
568,0.683594
569,0.841976
570,0.945427
571,0.987041
572,0.963867
573,0.861907
574,0.710556
575,0.520445
576,0.302734
577,0.0561049
578,-0.186058
579,-0.409532
580,-0.602539
581,-0.754695
582,-0.860825
583,-0.916606
584,-0.919922
585,-0.869358
586,-0.769653
587,-0.625476
588,-0.443359
589,-0.218825
590,0.0169146
591,0.250275
592,0.46875
593,0.673696
594,0.833946
595,0.938771
596,0.981445
597,0.949244
598,0.859726
599,0.71931
600,0.536133
601,0.30401
602,0.060631
603,-0.178885
604,-0.401367
605,-0.598399
606,-0.756141
607,-0.866953
608,-0.925781
609,-0.926841
610,-0.875671
611,-0.775367
612,-0.630859
613,-0.440611
614,-0.226723
615,-0.000563495
616,0.226562
617,0.45775
618,0.658477
619,0.815996
620,0.920898
621,0.965517
622,0.949737
623,0.874361
624,0.743164
625,0.545341
626,0.319214
627,0.0794908
628,-0.160156
629,-0.395804
630,-0.601669
631,-0.766196
632,-0.880859
633,-0.936189
634,-0.936188
635,-0.881868
636,-0.776367
637,-0.617648
638,-0.424965
639,-0.208651
640,0.0205078
641,0.265574
642,0.491562
643,0.684687
644,0.833984
645,0.934304
646,0.975418
647,0.954461
648,0.87207
649,0.715612
650,0.520042
651,0.298421
652,0.0634766
653,-0.182727
654,-0.411301
655,-0.609332
656,-0.766602
657,-0.873781
658,-0.928971
659,-0.930238
660,-0.87793
661,-0.770135
662,-0.619156
663,-0.432703
664,-0.219727
665,0.0242436
666,0.263878
667,0.484815
668,0.674805
669,0.831266
670,0.933853
671,0.975782
672,0.954102
673,0.855584
674,0.707947
675,0.52137
676,0.306641
677,0.0625569
678,-0.178352
679,-0.402028
680,-0.59668
681,-0.753574
682,-0.864182
683,-0.923434
684,-0.928711
685,-0.877136
686,-0.77539
687,-0.628509
688,-0.443359
689,-0.215586
690,0.0230259
691,0.258626
692,0.478516
693,0.684082
694,0.843865
695,0.947144
696,0.987305
697,0.950396
698,0.856666
699,0.713137
700,0.52832
701,0.29765
702,0.0563507
703,-0.180926
704,-0.401367
705,-0.597151
706,-0.754006
707,-0.864272
708,-0.922852
709,-0.924403
710,-0.873513
711,-0.773082
712,-0.62793
713,-0.436185
714,-0.220528
715,0.00747994
716,0.236328
717,0.469909
718,0.671807
719,0.828903
720,0.931641
721,0.970917
722,0.949349
723,0.868409
724,0.732422
725,0.530671
726,0.302315
727,0.0622719
728,-0.175781
729,-0.406566
730,-0.607224
731,-0.766979
732,-0.87793
733,-0.930565
734,-0.930046
735,-0.877616
736,-0.776367
737,-0.626217
738,-0.442139
739,-0.233349
740,-0.00976562
741,0.232243
742,0.458145
743,0.654286
744,0.80957
745,0.920496
746,0.97287
747,0.962686
748,0.889648
749,0.741027
750,0.550224
751,0.32991
752,0.0927734
753,-0.162078
754,-0.399765
755,-0.605986
756,-0.769531
757,-0.878589
758,-0.934135
759,-0.93465
760,-0.880859
761,-0.77088
762,-0.617843
763,-0.42977
764,-0.21582
765,0.0278136
766,0.266731
767,0.486752
768,0.675781
769,0.831071
770,0.932876
771,0.974534
772,0.953125
773,0.856576
774,0.710472
775,0.524606
776,0.30957
777,0.0624502
778,-0.181274
779,-0.406986
780,-0.602539
781,-0.757942
782,-0.866509
783,-0.923546
784,-0.926758
785,-0.873113
786,-0.770226
787,-0.623357
788,-0.439453
789,-0.21509
790,0.0197984
791,0.251844
792,0.46875
793,0.671575
794,0.830162
795,0.934026
796,0.976562
797,0.945999
798,0.858222
799,0.719299
800,0.537109
801,0.305087
802,0.0612107
803,-0.179348
804,-0.40332
805,-0.60261
806,-0.762428
807,-0.874842
808,-0.93457
809,-0.935945
810,-0.883934
811,-0.781556
812,-0.633789
813,-0.438502
814,-0.219345
815,0.0117998
816,0.243164
817,0.478681
818,0.681427
819,0.838194
820,0.939453
821,0.975197
822,0.95002
823,0.865898
824,0.727539
825,0.5244
826,0.295914
827,0.057023
828,-0.178711
829,-0.404248
830,-0.600418
831,-0.757215
832,-0.867188
833,-0.923023
834,-0.926323
835,-0.877582
836,-0.779297
837,-0.631477
838,-0.447937
839,-0.237694
840,-0.0107422
841,0.23957
842,0.472595
843,0.673393
844,0.830078
845,0.936152
846,0.982025
847,0.964701
848,0.884766
849,0.72877
850,0.533173
851,0.311335
852,0.0761719
853,-0.169271
854,-0.397606
855,-0.596166
856,-0.754883
857,-0.864866
858,-0.923553
859,-0.928831
860,-0.880859
861,-0.777249
862,-0.630562
863,-0.448331
864,-0.239258
865,-0.000618018
866,0.236023
867,0.457009
868,0.650391
869,0.816112
870,0.929062
871,0.981258
872,0.96875
873,0.878309
874,0.735748
875,0.550748
876,0.333984
877,0.0813486
878,-0.168816
879,-0.401058
880,-0.602539
881,-0.763101
882,-0.875023
883,-0.933298
884,-0.935547
885,-0.877047
886,-0.768776
887,-0.616808
888,-0.428711
889,-0.201943
890,0.0340574
891,0.265922
892,0.481445
893,0.680977
894,0.836067
895,0.936684
896,0.976562
897,0.944573
898,0.856033
899,0.716958
900,0.535156
901,0.304191
902,0.0615765
903,-0.177667
904,-0.400391
905,-0.598894
906,-0.757958
907,-0.869646
908,-0.928711
909,-0.928707
910,-0.876099
911,-0.774151
912,-0.62793
913,-0.436575
914,-0.221336
915,0.00643428
916,0.235352
917,0.470169
918,0.673096
919,0.830796
920,0.933594
921,0.971441
922,0.948563
923,0.866735
924,0.730469
925,0.52986
926,0.302841
927,0.0641008
928,-0.172852
929,-0.402902
930,-0.603164
931,-0.762856
932,-0.874023
933,-0.92767
934,-0.927811
935,-0.875425
936,-0.773438
937,-0.621915
938,-0.435501
939,-0.223508
940,0.00390625
941,0.252525
942,0.483154
943,0.681175
944,0.834961
945,0.938545
946,0.981934
947,0.962166
948,0.879883
949,0.721603
950,0.524033
951,0.300643
952,0.0644531
953,-0.182081
954,-0.41037
955,-0.607588
956,-0.763672
957,-0.868083
958,-0.921554
959,-0.922679
960,-0.87207
961,-0.769577
962,-0.624397
963,-0.443528
964,-0.235352
965,0.00521681
966,0.242836
967,0.463271
968,0.654297
969,0.813478
970,0.919945
971,0.966615
972,0.950195
973,0.858562
974,0.716545
975,0.533656
976,0.320312
977,0.073096
978,-0.171768
979,-0.399468
980,-0.597656
981,-0.756564
982,-0.868583
983,-0.928745
984,-0.93457
985,-0.882018
986,-0.780197
987,-0.634566
988,-0.452148
989,-0.230482
990,0.00228882
991,0.233187
992,0.450195
993,0.654226
994,0.815696
995,0.924108
996,0.972656
997,0.951525
998,0.87223
999,0.739824
1000,0.561523
1001,0.32883
1002,0.0823973
1003,-0.162029
1004,-0.390625
1005,-0.595894
1006,-0.760681
1007,-0.876427
1008,-0.9375
1009,-0.936394
1010,-0.881165
1011,-0.77552
1012,-0.625
1013,-0.42741
1014,-0.207527
1015,0.0225258
1016,0.250977
1017,0.479346
1018,0.675507
1019,0.827276
1020,0.925781
1021,0.96344
1022,0.941292
1023,0.860627
1024,0.725586
1025,0.525386
1026,0.298813
1027,0.0605881
1028,-0.175781
1029,-0.404725
1030,-0.60421
1031,-0.763597
1032,-0.875
1033,-0.930195
1034,-0.931824
1035,-0.880604
1036,-0.779297
1037,-0.627085
1038,-0.43998
1039,-0.227519
1040,-0
